"Primeiro, encostado no laser",,,"Segundo, no meio do caminho +-",,,"Terceiro, encostado no fotodiodo",,,"Estilete, 100% equivale a 47 (Z da lente ao fotodiodo)",,,,,"Estilete, 100% equivale a 47 (Z da lente até +- 2f)",,,
Posição (mm),Intensidade,,Posição (mm),Intensidade,,Posição (mm),Intensidade,,90%=42,10%=5,D,,,90=42,10=5,D,
"20,40",0,,"20,10",0,,"19,98",0,,"17,91","17,83","126,5",71,,"92,0","89,0","126,50",71
"20,35",0,,"20,05",1,,"19,95",0,,"17,93","17,79","120,5",77,,"98,0","90,5",,72
"20,30",1,,"20,00",1,,"19,90",0,,"17,97","17,72",,83,,"95,0","86,5",,73
"20,25",2,,"19,95",2,,"19,85",1,,"17,99","17,67",,89,,"94,0","85,0",,74
"20,20",3,,"19,90",3,,"19,80",1,,"18,05","17,53",,95,,"92,5","80,5",,75
"20,15",5,,"19,85",5,,"19,75",2,,"18,06","17,43",,101,,"92,0","78,5",,76
"20,13",7,,"19,83",5,,"19,70",2,,"18,09","17,30",,107,,"93,0","77,0",,77
"20,11",8,,"19,81",6,,"19,65",3,,"18,12","17,20",,113,,"99,0","77,0",,78
"20,10",9,,"19,79",6,,"19,60",4,,"18,14","17,08",,119,,"93,5","74,0",,79
"20,08",10,,"19,77",7,,"19,55",5,,"18,16","17,03",,125,,"95,0","75,0",,80
"20,06",12,,"19,75",8,,"19,50",6,,"18,20","16,89",,131,,"95,0","72,3",,81
"20,04",13,,"19,73",9,,"19,45",7,,"18,26","16,80",,137,,"95,5","71,0",,82
"20,02",14,,"19,71",10,,"19,40",9,,"18,28","16,71",,143,,"94,5","68,5",,83
"20,00",15,,"19,69",11,,"19,38",9,,"18,31","16,61",,149,,"96,0","67,0",,84
"19,98",16,,"19,67",12,,"19,36",10,,"18,37","16,52",,155,,"98,0","67,0",,85
"19,95",17,,"19,65",13,,"19,34",11,,"18,38","16,42",,161,,"98,0","65,5",,86
"19,92",18,,"19,63",14,,"19,32",11,,"18,43","16,29",,167,,VEJA QUE AQUI A UNID. DE MEDIDA SÃO AS DEZENAS DA DO LADO,,,
"19,90",18,,"19,60",15,,"19,30",12,,"18,43","16,20",,173,,,,,
"19,88",18,,"19,58",16,,"19,28",12,,"18,45","16,08",,179,,"8,5cm foco",,,
"19,85",17,,"19,56",17,,"19,25",13,,"18,46","15,98",,185,,,,,
"19,82",16,,"19,54",18,,"19,23",14,,"18,49","15,89",,191,,,,,
"19,80",15,,"19,52",19,,"19,20",15,,,,,,,,,,
"19,78",14,,"19,50",20,,"19,18",15,,,,,,,,,,
"19,75",13,,"19,48",21,,"19,16",16,,,,,,,,,,
"19,72",11,,"19,46",21,,"19,14",16,,,,,,,,,,
"19,70",10,,"19,44",22,,"19,12",17,,,,,,,,,,
"19,68",9,,"19,42",22,,"19,10",17,,,,,,,,,,
"19,65",7,,"19,40",23,,"19,08",18,,,,,,,,,,
"19,63",6,,"19,38",23,,"19,00",19,,,,,,,,,,
"19,61",5,,"19,36",26,,"18,98",19,,,,,,,,,,
"19,59",4,,"19,34",23,,"18,96",19,,,,,,,,,,
"19,57",3,,"19,32",23,,"18,94",19,,,,,,,,,,
"19,55",2,,"19,30",23,,"18,92",19,,,,,,,,,,
"19,53",2,,"19,28",22,,"18,94",20,,,,,,,,,,
"19,51",1,,"19,26",22,,"18,92",20,,,,,,,,,,
"19,50",1,,"19,24",21,,"18,90",20,,,,,,,,,,
"19,49",1,,"19,22",21,,"18,88",20,,,,,,,,,,
"19,48",1,,"19,20",20,,"18,86",20,,,,,,,,,,
"19,47",1,,"19,18",19,,"18,83",20,,,,,,,,,,
"19,45",0,,"19,16",18,,"18,80",20,,,,,,,,,,
,,,"19,14",17,,"18,78",20,,,,,,,,,,
,,,"19,12",16,,"18,75",19,,,,,,,,,,
,,,"19,10",15,,"18,73",19,,,,,,,,,,
,,,"19,08",14,,"18,70",19,,,,,,,,,,
,,,"19,06",13,,"18,68",18,,,,,,,,,,
,,,"19,04",12,,"18,66",17,,,,,,,,,,
,,,"19,02",11,,"18,64",17,,,,,,,,,,
,,,"19,00",10,,"18,62",16,,,,,,,,,,
,,,"18,98",9,,"18,60",16,,,,,,,,,,
,,,"18,96",8,,"18,57",15,,,,,,,,,,
,,,"18,94",7,,"18,54",14,,,,,,,,,,
,,,"18,92",6,,"18,52",14,,,,,,,,,,
,,,"18,90",6,,"18,50",13,,,,,,,,,,
,,,"18,88",5,,"18,48",12,,,,,,,,,,
,,,"18,86",4,,"18,46",12,,,,,,,,,,
,,,"18,84",4,,"18,44",11,,,,,,,,,,
,,,"18,82",3,,"18,42",11,,,,,,,,,,
,,,"18,80",3,,"18,40",10,,,,,,,,,,
,,,"18,78",2,,"18,36",9,,,,,,,,,,
,,,"18,76",2,,"18,34",8,,,,,,,,,,
,,,"18,74",1,,"18,32",8,,,,,,,,,,
,,,"18,72",1,,"18,30",7,,,,,,,,,,
,,,"18,70",1,,"18,28",7,,,,,,,,,,
,,,"18,68",1,,"18,26",6,,,,,,,,,,
,,,"18,66",0,,"18,24",6,,,,,,,,,,
,,,"18,64",0,,"18,22",5,,,,,,,,,,
,,,"18,62",0,,"18,20",5,,,,,,,,,,
,,,,,,"18,18",4,,,,,,,,,,
,,,,,,"18,16",4,,,,,,,,,,
,,,,,,"18,14",4,,,,,,,,,,
,,,,,,"18,10",3,,,,,,,,,,
,,,,,,"18,05",2,,,,,,,,,,
,,,,,,"18,00",2,,,,,,,,,,
,,,,,,"17,95",1,,,,,,,,,,
,,,,,,"17,90",1,,,,,,,,,,
,,,,,,"17,85",0,,,,,,,,,,
,,,,,,"17,80",0,,,,,,,,,,